"","Sex","Age","Edu","n","n_1996","n_2002","n_2008","conso_5_1996","conso_5_2002","conso_5_2008","conso_5_all_years","habit_constraint","budget_constraint","time_constraint","social_context_breakfast","social_context_lunch","social_context_dinner","opinion_index_Hq1","opinion_index_Hq2","opinion_index_Hq3","opinion_index_Hq4","opinion_index_Hq5","Group.1","opinion_index_Uq1","opinion_index_Uq2","opinion_index_Uq3","opinion_index_Uq4","opinion_index_Uq5"
"1",1,1,1,461,74,101,286,0,0.0198019801980198,0.041958041958042,0.0303687635574837,0.558208955223881,0.540229885057471,0.456647398843931,0.124378109452736,0.459396751740139,0.172645739910314,0,0,1,0,0,"1_1_1",0.0833333333333333,0.46875,0.229166666666667,0.15625,0.0625
"2",1,1,2,305,64,86,155,0.09375,0.0232558139534884,0.0516129032258065,0.0524590163934426,0.637837837837838,0.587155963302752,0.548387096774194,0.168539325842697,0.460481099656357,0.294915254237288,0,1,0,0,0,"1_1_2",0.107142857142857,0.416666666666667,0.380952380952381,0.0595238095238095,0.0357142857142857
"3",1,1,3,139,25,46,68,0.04,0.0652173913043478,0.0735294117647059,0.0647482014388489,0.705128205128205,0.563636363636364,0.596330275229358,0.0975609756097561,0.441860465116279,0.316176470588235,0,0,0.333333333333333,0.333333333333333,0.333333333333333,"1_1_3",0.0930232558139535,0.465116279069767,0.255813953488372,0.13953488372093,0.0465116279069767
"4",1,2,1,782,186,241,355,0.0483870967741935,0.0497925311203319,0.0816901408450704,0.0639386189258312,0.64,0.586092715231788,0.432885906040268,0.0785619174434088,0.290106951871658,0.102362204724409,0,0.25,0.5,0.166666666666667,0.0833333333333333,"1_2_1",0.0625,0.508928571428571,0.325892857142857,0.0892857142857143,0.0133928571428571
"5",1,2,2,422,75,122,225,0.04,0.0737704918032787,0.111111111111111,0.0876777251184834,0.829710144927536,0.475644699140401,0.492795389048991,0.0694789081885856,0.382133995037221,0.142512077294686,0,0.444444444444444,0.111111111111111,0.444444444444444,0,"1_2_2",0.0442477876106195,0.442477876106195,0.327433628318584,0.15929203539823,0.0265486725663717
"6",1,2,3,364,66,118,180,0.136363636363636,0.0593220338983051,0.166666666666667,0.126373626373626,0.825726141078838,0.434920634920635,0.619047619047619,0.06,0.407514450867052,0.164804469273743,0,0,0.571428571428571,0.142857142857143,0.285714285714286,"1_2_3",0.036036036036036,0.378378378378378,0.369369369369369,0.171171171171171,0.045045045045045
"7",1,3,1,318,74,95,149,0.0810810810810811,0.147368421052632,0.174496644295302,0.144654088050314,0.566502463054187,0.520661157024793,0.264705882352941,0.0253968253968254,0.0536277602523659,0.032051282051282,0.0714285714285714,0.285714285714286,0.428571428571429,0.142857142857143,0.0714285714285714,"1_3_1",0.0759493670886076,0.291139240506329,0.531645569620253,0.10126582278481,0
"8",1,3,2,85,8,31,46,0.25,0.032258064516129,0.239130434782609,0.164705882352941,0.862745098039216,0.426470588235294,0.373134328358209,0.0238095238095238,0.0602409638554217,0.0705882352941176,0,0,1,0,0,"1_3_2",0.0333333333333333,0.4,0.5,0.0333333333333333,0.0333333333333333
"9",1,3,3,80,18,28,34,0.166666666666667,0.178571428571429,0.205882352941176,0.1875,0.928571428571429,0.279411764705882,0.522388059701492,0.0256410256410256,0.139240506329114,0.0875,0,0.4,0.2,0.4,0,"1_3_3",0.0434782608695652,0.608695652173913,0.260869565217391,0.0869565217391304,0
"10",2,1,1,440,86,109,245,0.0581395348837209,0.036697247706422,0.0693877551020408,0.0590909090909091,0.704477611940298,0.655172413793103,0.544668587896254,0.10379746835443,0.37410071942446,0.124121779859485,0,0.5,0.25,0.25,0,"2_1_1",0.116504854368932,0.388349514563107,0.213592233009709,0.174757281553398,0.106796116504854
"11",2,1,2,401,88,122,191,0.0227272727272727,0.040983606557377,0.0890052356020942,0.0598503740648379,0.737827715355805,0.662420382165605,0.617834394904459,0.102777777777778,0.402116402116402,0.227272727272727,0,0.2,0.2,0.6,0,"2_1_2",0.0427350427350427,0.435897435897436,0.264957264957265,0.213675213675214,0.0427350427350427
"12",2,1,3,224,46,57,121,0,0.105263157894737,0.0578512396694215,0.0580357142857143,0.84375,0.709497206703911,0.752808988764045,0.129186602870813,0.454128440366972,0.237442922374429,0,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,"2_1_3",0.0392156862745098,0.176470588235294,0.509803921568627,0.176470588235294,0.0980392156862745
"13",2,2,1,955,245,341,369,0.106122448979592,0.134897360703812,0.105691056910569,0.116230366492147,0.760162601626016,0.725146198830409,0.57093023255814,0.0587606837606838,0.208333333333333,0.0834224598930481,0,0.152173913043478,0.434782608695652,0.304347826086957,0.108695652173913,"2_2_1",0.0348432055749129,0.29616724738676,0.470383275261324,0.153310104529617,0.0452961672473868
"14",2,2,2,592,112,178,302,0.0892857142857143,0.146067415730337,0.119205298013245,0.121621621621622,0.820128479657388,0.653429602888087,0.66304347826087,0.0463121783876501,0.308098591549296,0.101200686106346,0,0.0384615384615385,0.384615384615385,0.461538461538462,0.115384615384615,"2_2_2",0.0263157894736842,0.263157894736842,0.532894736842105,0.125,0.0526315789473684
"15",2,2,3,419,84,124,211,0.178571428571429,0.145161290322581,0.170616113744076,0.164677804295943,0.833855799373041,0.595907928388747,0.736572890025575,0.0463414634146341,0.340632603406326,0.116788321167883,0,0.222222222222222,0.111111111111111,0.611111111111111,0.0555555555555556,"2_2_3",0.0283018867924528,0.188679245283019,0.509433962264151,0.188679245283019,0.0849056603773585
"16",2,3,1,604,128,235,241,0.1015625,0.2,0.219917012448133,0.187086092715232,0.6875,0.722996515679443,0.344947735191638,0.0217755443886097,0.125,0.0707070707070707,0,0.260869565217391,0.478260869565217,0.173913043478261,0.0869565217391304,"2_3_1",0.021978021978022,0.214285714285714,0.532967032967033,0.181318681318681,0.0494505494505494
"17",2,3,2,154,21,46,87,0.19047619047619,0.260869565217391,0.310344827586207,0.279220779220779,0.741935483870968,0.697986577181208,0.513333333333333,0.0714285714285714,0.197368421052632,0.0878378378378378,0,0.0833333333333333,0.583333333333333,0.25,0.0833333333333333,"2_3_2",0,0.147058823529412,0.676470588235294,0.117647058823529,0.0588235294117647
"18",2,3,3,66,9,17,40,0.555555555555556,0.235294117647059,0.3,0.318181818181818,0.8,0.615384615384615,0.646153846153846,0.0454545454545455,0.169230769230769,0.138461538461538,0,0,0.75,0,0.25,"2_3_3",0,0.230769230769231,0.692307692307692,0,0.0769230769230769
