day,slice,sex,age,educ,effective,healthy,avgOpinion
2,2,2,3,3,298400,151153,0.4526282659205943
3,0,1,1,1,268634,8035,0.1827579687490357
3,0,1,1,2,154889,10715,0.19730582596806984
3,0,1,1,3,133992,7331,0.19516392941676206
3,0,1,2,1,1077784,47660,0.18966120602910114
3,0,1,2,2,663085,32223,0.19523224093617125
3,0,1,2,3,622271,80803,0.24059112442867447
3,0,1,3,1,424254,31756,0.21572443873953118
3,0,1,3,2,261864,53623,0.28542418237630673
3,0,1,3,3,263921,32245,0.23149900330740375
3,0,2,1,1,267920,21345,0.21170870276014173
3,0,2,1,2,186766,8273,0.19441495974122266
3,0,2,1,3,123106,5336,0.19981541777418
3,0,2,2,1,1105333,126009,0.24081402155163123
3,0,2,2,2,814105,84958,0.23505312457026578
3,0,2,2,3,560175,105749,0.2799898507141954
3,0,2,3,1,533998,62958,0.24840788075442505
3,0,2,3,2,403767,79454,0.2878325425782832
3,0,2,3,3,298406,150553,0.44816994320045195
3,1,1,1,1,268541,7988,0.17094523478430998
3,1,1,1,2,154798,10520,0.1874848081524193
3,1,1,1,3,133949,7266,0.18405005828116788
3,1,1,2,1,1077794,47462,0.17856692523899292
3,1,1,2,2,663022,32057,0.18333664740578495
3,1,1,2,3,622207,80425,0.23079983568659138
3,1,1,3,1,424351,31737,0.20330394906379715
3,1,1,3,2,261920,53571,0.277638217109895
3,1,1,3,3,263961,32137,0.22340825946339912
3,1,2,1,1,267891,21202,0.2004473286076267
3,1,2,1,2,186726,8240,0.1819796883056555
3,1,2,1,3,123049,5287,0.18528131156309094
3,1,2,2,1,1105536,125825,0.22827141433467957
3,1,2,2,2,814068,84796,0.2225400333563155
3,1,2,2,3,560158,105474,0.27012162044091126
3,1,2,3,1,534049,62924,0.23512883518797775
3,1,2,3,2,403821,79275,0.2760782686938937
3,1,2,3,3,298429,150262,0.4476779115574654
3,2,1,1,1,268485,7895,0.16180805634339362
3,2,1,1,2,154775,10307,0.17856498179032057
3,2,1,1,3,133940,7171,0.17453277203066803
3,2,1,2,1,1077810,47188,0.16973325954362592
3,2,1,2,2,662936,31763,0.1732144823329009
3,2,1,2,3,622154,79877,0.21903551537040905
3,2,1,3,1,424382,31729,0.19369890339682866
3,2,1,3,2,261938,53550,0.2705995660867468
3,2,1,3,3,263982,32061,0.21590563078833205
3,2,2,1,1,267854,21023,0.1899096778417537
3,2,2,1,2,186707,8144,0.17166209357703263
3,2,2,1,3,123038,5226,0.17345688334083653
3,2,2,2,1,1105653,125577,0.21708014934885347
3,2,2,2,2,814097,84472,0.2100176575329245
3,2,2,2,3,560164,104992,0.25574764162587593
3,2,2,3,1,534066,62884,0.22379190224045725
3,2,2,3,2,403873,79037,0.26380274145359406
3,2,2,3,3,298416,149910,0.43815808491029556
4,0,1,1,1,268377,7811,0.15529487347779966
4,0,1,1,2,154672,10085,0.17286550281372012
4,0,1,1,3,133858,7042,0.16815299719066248
4,0,1,2,1,1077920,47001,0.16348712481732516
4,0,1,2,2,662815,31538,0.16658569854626476
4,0,1,2,3,622133,79413,0.21295231116880217
4,0,1,3,1,424453,31723,0.1865849952355026
4,0,1,3,2,261981,53543,0.26590913236103636
4,0,1,3,3,264011,31994,0.2104098794697378
4,0,2,1,1,267816,20888,0.18374894688462376
4,0,2,1,2,186607,8044,0.1646212683989692
4,0,2,1,3,122986,5138,0.16557839484068917
4,0,2,2,1,1105832,125406,0.21021538036845588
4,0,2,2,2,814153,84249,0.20301433835678417
4,0,2,2,3,560117,104523,0.24972658289298927
4,0,2,3,1,534174,62866,0.21575977565559942
4,0,2,3,2,403936,78831,0.2574658336482917
4,0,2,3,3,298429,149529,0.43501368911009836
4,1,1,1,1,268191,7752,0.1502020487005888
4,1,1,1,2,154556,9938,0.16859591612402258
4,1,1,1,3,133818,6974,0.16345583071613215
4,1,1,2,1,1077914,46914,0.1586803195104373
4,1,1,2,2,662679,31396,0.16164780446038401
4,1,1,2,3,622117,79209,0.20945510222362276
4,1,1,3,1,424598,31731,0.18109166918416247
4,1,1,3,2,262068,53556,0.2620491976546686
4,1,1,3,3,264060,31971,0.20689639897327622
4,1,2,1,1,267755,20820,0.17911149360665113
4,1,2,1,2,186539,7986,0.159293153003455
4,1,2,1,3,122903,5078,0.15956094910008362
4,1,2,2,1,1106081,125326,0.20492269653712897
4,1,2,2,2,814219,84134,0.1981080730407009
4,1,2,2,3,560085,104308,0.246756863907548
4,1,2,3,1,534229,62851,0.21018413782282344
4,1,2,3,2,404002,78688,0.25283105388561694
4,1,2,3,3,298456,149304,0.43631744098627445
4,2,1,1,1,268092,7673,0.14661511727601567
4,2,1,1,2,154514,9735,0.1641821248452053
4,2,1,1,3,133775,6884,0.15903964648264712
4,2,1,2,1,1077973,46735,0.15486507865722934
4,2,1,2,2,662582,31172,0.15724152754050863
4,2,1,2,3,622054,78791,0.20298601352946777
4,2,1,3,1,424629,31724,0.1767551628886188
4,2,1,3,2,262120,53561,0.2580190420498428
4,2,1,3,3,264089,31947,0.20284067927826466
4,2,2,1,1,267716,20662,0.17408783325416508
4,2,2,1,2,186516,7928,0.15496759418817388
4,2,2,1,3,122847,4992,0.15487817180986177
4,2,2,2,1,1106227,125152,0.19939344553078645
4,2,2,2,2,814238,83839,0.19188491679750347
4,2,2,2,3,560050,103845,0.23826121870772135
4,2,2,3,1,534298,62832,0.20480356493786323
4,2,2,3,2,404065,78489,0.24620946435200086
4,2,2,3,3,298485,149007,0.428399157961933
5,0,1,1,1,268004,7588,0.14369618599634726
5,0,1,1,2,154376,9548,0.16154405002011302
5,0,1,1,3,133675,6787,0.15637581203926906
5,0,1,2,1,1078086,46599,0.15210510263531185
5,0,1,2,2,662449,30971,0.15444675348122527
5,0,1,2,3,622002,78357,0.2005722379315376
5,0,1,3,1,424723,31720,0.17356763277439805
5,0,1,3,2,262172,53557,0.255713904300211
5,0,1,3,3,264150,31917,0.20012018195158393
5,0,2,1,1,267668,20550,0.1716581942214906
5,0,2,1,2,186423,7842,0.15200596785536666
5,0,2,1,3,122787,4916,0.15175346346715995
5,0,2,2,1,1106412,125035,0.19666047966887512
5,0,2,2,2,814274,83593,0.18921947890777804
5,0,2,2,3,559979,103369,0.23626068461857502
5,0,2,3,1,534459,62809,0.20132247622130048
5,0,2,3,2,404115,78267,0.243969861829227
5,0,2,3,3,298516,148662,0.42663821782499484
5,1,1,1,1,267812,7531,0.14128601125826276
5,1,1,1,2,154231,9399,0.15945106060459152
5,1,1,1,3,133574,6716,0.1541259039199273
5,1,1,2,1,1078159,46500,0.14988040814299958
5,1,1,2,2,662275,30828,0.15222485300876806
5,1,1,2,3,621910,78097,0.1996512648501654
5,1,1,3,1,424924,31730,0.17096908452333565
5,1,1,3,2,262245,53561,0.25381547210813943
5,1,1,3,3,264208,31895,0.198643939685593
5,1,2,1,1,267597,20467,0.1697844742379137
5,1,2,1,2,186359,7796,0.14958549957354086
5,1,2,1,3,122673,4857,0.14896123776211734
5,1,2,2,1,1106748,124927,0.19445311675659677
5,1,2,2,2,814304,83482,0.18742725781104105
5,1,2,2,3,559946,103106,0.23604045681292354
5,1,2,3,1,534539,62800,0.1990850347320571
5,1,2,3,2,404198,78128,0.24222295929539164
5,1,2,3,3,298568,148476,0.4291083518479002
5,2,1,1,1,267687,7415,0.1399727882280464
5,2,1,1,2,154161,9193,0.15679479704850094
5,2,1,1,3,133533,6603,0.15183792920354414
5,2,1,2,1,1078191,46367,0.14803375779402386
5,2,1,2,2,662169,30594,0.15012465235292377
5,2,1,2,3,621830,77684,0.19530781900477295
5,2,1,3,1,424981,31729,0.16893693667270773
5,2,1,3,2,262274,53555,0.25147164489130513
5,2,1,3,3,264266,31872,0.1961752126226809
5,2,2,1,1,267546,20312,0.1669145060349264
5,2,2,1,2,186315,7718,0.14766428339146323
5,2,2,1,3,122601,4761,0.1465765734718514
5,2,2,2,1,1106958,124738,0.19143536973572065
5,2,2,2,2,814360,83224,0.1837553528681002
5,2,2,2,3,559882,102603,0.22980226868279482
5,2,2,3,1,534633,62783,0.19630929413320516
5,2,2,3,2,404272,77913,0.2379987177790952
5,2,2,3,3,298611,148188,0.4221578330823532
