seed,probMeat,k,EquipmentPerPerson,nPeople,switchers,meatersA1,meatersA2,meatersImmo
-1248552277,0.4,0.07,0.5,1000.0,2105.0,43.0,50.0,45.0
-1357718639,0.4,0.07,0.5,1000.0,2391.0,46.0,50.0,50.0
-558474986,0.4,0.07,0.5,1000.0,2245.0,44.0,53.0,53.0
1177477984,0.4,0.07,0.5,1000.0,2286.0,42.0,49.0,49.0
276576172,0.4,0.07,0.5,1000.0,2298.0,47.0,53.0,54.0
1725963174,0.4,0.07,0.5,1000.0,2135.0,45.0,57.0,41.0
-301870213,0.6,1.5000000000000002,0.5,1000.0,47467.0,59.0,52.0,51.0
103811311,0.6,1.5000000000000002,0.5,1000.0,44639.0,51.0,54.0,56.0
-1464208024,0.6,1.5000000000000002,0.5,1000.0,42485.0,55.0,47.0,49.0
-1659343811,0.6,1.5000000000000002,0.5,1000.0,45960.0,51.0,47.0,51.0
-1191473050,0.6,1.5000000000000002,0.5,1000.0,45042.0,51.0,48.0,54.0
-1286477575,0.6,1.5000000000000002,0.5,1000.0,44736.0,55.0,44.0,50.0
94448520,0.6,1.5000000000000002,0.5,1000.0,46707.0,45.0,49.0,52.0
-2124073907,0.6,1.5000000000000002,0.5,1000.0,45372.0,51.0,52.0,56.0
-643644522,0.6,1.5000000000000002,0.5,1000.0,45504.0,50.0,44.0,54.0
1379717111,0.6,1.5000000000000002,0.5,1000.0,44826.0,53.0,51.0,51.0
-236244164,0.30000000000000004,0.7999999999999999,0.5,1500.0,36950.0,45.0,51.0,49.0
1523819996,0.30000000000000004,0.7999999999999999,0.5,1500.0,39128.0,47.0,54.0,47.0
-1844114893,0.30000000000000004,0.7999999999999999,0.5,1500.0,42934.0,49.0,46.0,48.0
-1422507773,0.30000000000000004,0.7999999999999999,0.5,1500.0,40387.0,44.0,54.0,50.0
1878140363,0.30000000000000004,0.7999999999999999,0.5,1500.0,39966.0,46.0,54.0,50.0
-533758404,0.30000000000000004,0.7999999999999999,0.5,1500.0,40290.0,52.0,54.0,45.0
1825332739,0.30000000000000004,0.7999999999999999,0.5,1500.0,42959.0,47.0,52.0,48.0
1137422554,0.30000000000000004,0.7999999999999999,0.5,1500.0,40702.0,47.0,50.0,50.0
230516321,0.30000000000000004,0.7999999999999999,0.5,1500.0,43116.0,49.0,50.0,46.0
-865610436,0.30000000000000004,0.7999999999999999,0.5,1500.0,43795.0,45.0,51.0,53.0
1066683162,0.6,1.7000000000000004,0.5,1500.0,77444.0,45.0,48.0,49.0
861754275,0.6,1.7000000000000004,0.5,1500.0,77896.0,51.0,52.0,53.0
