evolution$generation,maxProbaToSwitch,constraintsStrength,inertiaCoefficient,healthyDietReward,interpersonalInfluence,deltaHealth,evolution$samples
187000,0.40574653750215706,0.017597657786035063,0.5161483358223652,0.6789742166713103,0.27391835552590776,0.0059225170514446805,10
187000,0.11618324839179886,0.3569500008775926,0.8223340889135249,0.601359262701381,0.9892022764209825,0.005828075412906713,10
187000,0.13720968221306087,0.135754630511475,0.6277464857637299,0.5120060822905558,0.9975120958576786,0.005788493310177575,10
187000,0.14905520882514559,0.513207796262975,0.5024692651973722,0.3856557082166133,0.9939262597390244,0.005730482688993987,10
187000,0.47454761194234785,0.03871979885029076,0.5355558962067429,0.7376149559335131,0.3143367002543492,0.005836649234361766,10
187000,0.13553643916868088,0.227327750565181,0.9712406453020928,0.4104364913963908,0.8272565443621391,0.0059561873833079496,10
187000,0.15245089795804703,0.1632395247160814,0.17668132781205917,0.7056859446579978,0.9844276254830848,0.005945152419008872,10
187000,0.24096409496594712,0.33630071914948784,0.4364912600517442,0.10042797147533003,0.9851862230204311,0.005987686085249421,10
187000,0.10822357448480127,0.914472452078658,0.9990873677531598,0.7777743510541277,0.3472026081918738,0.0058052114027318325,10
187000,0.1187277675848917,0.997584237241762,0.6968864705550956,0.7746267062590433,0.9914219246941047,0.005811467646918701,10
187000,0.08174991804472405,0.07838746167818887,0.5172548933969665,0.49742817005620366,1.0000000000000002,0.005522769104157531,10
187000,0.15824790642470996,0.5601091123041239,0.5585993629537296,0.7208284464577239,1.0000000000000002,0.00585821201284765,10
187000,0.13690085019863082,0.4944138635526247,0.4207056594542649,0.390648186550893,1.0000000000000002,0.005618490193794606,10
187000,0.1465244241661192,0.1559594753152528,0.17913835908258308,0.9900867955543202,0.9914403741041123,0.005760693931303857,10
187000,0.9859682827879876,0.17911989834172143,0.5811306112636889,0.7383965743260462,0.06753658633295198,0.0058231264979022425,10
187000,0.1547564153184773,0.3480100922301848,0.5909593277797316,0.1351522173605197,1.0000000000000002,0.0056481518818243355,10
187000,0.1369941464168815,0.3213888504416234,0.7545712188012971,1.0000000000000002,0.986331519309831,0.005926595037937799,10
