evolution$generation,maxProbaToSwitch,inertiaCoefficient,healthyDietReward,interpersonalInfluence,absoluteDeltaHealth,evolution$samples
507,0.024901499043236353,0.15727004233326958,0.0,0.4410364153409152,-0.0,14
507,0.8312068145497167,0.24543053245805657,0.1841638984574585,0.6660388697472297,-0.5,14
507,0.47887534392255793,0.12838097153792383,0.16767845289715733,0.17103223871037732,-0.5,8
507,0.5298861138215425,0.22894509686479703,0.7365587431809688,0.010464930900839331,-0.5,9
507,0.933638040441191,0.2886642478004011,0.3918769899801642,0.5454020682596892,-0.5,15
507,0.7555437231712304,0.34220942986883496,0.15582655730933515,0.4791367189975275,-0.5,5
507,0.24839031067389217,0.8424406417507472,0.5569053503978664,0.4786595992145455,-0.5,5
507,0.8842066076607094,0.9502627081021124,0.7531861694811248,0.4706182146432793,-0.5,5
507,0.7535437536888085,0.34220942986883496,0.15582655730933515,0.4791367189975275,-0.5,5
507,0.6680262822187226,0.7521443257186341,0.34690886176443536,0.3574013278456347,-0.5,13
507,0.7930141342897683,0.7270291602521974,0.6736301339590642,0.9828447644202778,-0.5,11
507,0.8340114755562491,0.6767280971919312,0.5699873464785035,0.18409097366189053,-0.5,8
507,0.7721364791866221,0.3166050475809965,0.6726765513539412,0.7774741368216298,-0.5,13
507,0.013459201088899642,0.49338970501663465,0.9407037593855724,0.7014694444911704,-0.5,12
507,0.6618313016219486,0.44961386000434045,0.7922217443642023,0.6861254630796332,-0.5,11
507,0.4137191331902408,0.5173191788378733,0.6629152392163531,0.5822732357163305,-0.5,12
507,0.11380852511213015,0.6457978772461099,0.7170515729580402,0.08404425758862644,-0.5,12
507,0.174933474796233,0.3837543857646606,0.326587362331044,0.08410242640865428,-0.5,12
507,0.23430289271910798,0.7205354419307985,0.5551694828601896,0.1915987211324357,-0.5,15
507,0.010862075931134862,0.928860739876443,0.6118826937666049,0.19053136603861032,-0.5,15
507,0.5202937989616413,0.9075561108399,0.2969034661012216,0.7875832300066986,-0.5,11
507,0.39803312283284065,0.11505035552113463,0.35397500100093393,0.419688805885464,-0.5,10
507,0.10083059410255091,0.6173698647916288,0.3593293723479771,0.6745843170942698,-0.5,12
507,0.09992534111137408,0.686630165026622,0.3678731526538743,0.8779762934290116,-0.5,14
507,0.08080441936529106,0.6835978516962874,0.7977807000370847,0.4931643255643827,-0.5,10
507,0.8387287473496627,0.9842806811829088,0.32533745818675386,0.4944724143228991,-0.5,10
507,0.9239468193543996,0.2555174782620775,0.3116507075334818,0.459084296183379,-0.5,21
507,0.7032482787651217,0.813215490133324,0.7814862584942137,0.1636549415683226,-0.5,14
507,0.2401415407188685,0.30390050246160216,0.7422863417382903,0.13343699955519428,-0.5,12
507,0.526405925075728,0.9878004296274588,0.47074315708100034,0.6114299603515042,-0.5,8
507,0.526405925075728,0.987800429627459,0.47074315708100034,0.6114299603515041,-0.5,8
507,0.526405925075728,0.987800429627459,0.4707431570810003,0.6114299603515041,-0.5,8
507,0.09392765677110158,0.4808832880929738,0.6810609178741345,0.6945701531718638,-0.5,5
507,0.6227914290242994,0.8384552658827992,0.3120445769821334,0.6980535683004763,-0.5,5
507,0.09392765677110158,0.48088328809297376,0.6810609178741343,0.6945701531718638,-0.5,5
507,0.1494033999533253,0.886063002332786,0.39628677930652345,0.39683026639110675,-0.5,12
507,0.19489192420322676,0.003999122230337271,0.8011078917162751,0.6530904904944796,-0.5,15
507,0.18775122242057574,0.34158898555190054,0.5121863352961169,0.9140417233673763,-0.5,10
507,0.8402892068678058,0.19709898705744133,0.13980452223886997,0.8944171876660183,-0.5,10
507,0.8402892068678056,0.19709898705744133,0.13980452223886997,0.894417187666018,-0.5,10
507,0.8402892068678057,0.19709898705744133,0.13980452223886997,0.8944171876660181,-0.5,10
507,0.08563923164805654,0.7184421121561555,0.5088640471463277,0.09466874667302294,-0.5,14
