evolution$generation,maxProbaToSwitch,inertiaCoefficient,healthyDietReward,interpersonalInfluence,deltaHealth,deltaAverageOpinion,deltaMSEOpinion,evolution$samples
1514,3.809990638130728E-4,0.22483423035728012,0.4725842043221118,0.3551418829334627,0.010000000000000009,0.08056077649962556,0.00179181204220312,100
1514,0.0021673343688263253,0.3030544545546538,0.370036454097467,0.2489269383330408,0.09999999999999998,0.18729633595028267,0.002893394934769416,100
1514,0.017621936227020858,0.15251742638078492,0.009983867533681438,0.4611094195223515,0.25,0.2458523558034808,2.6047711803808714E-7,32
1514,0.0022426990610838783,0.41459500318532044,0.6633140900717096,0.23386318213160556,0.21999999999999997,0.31824739575206695,0.0023720579076941988,39
1514,0.5039669100926456,0.05518699013863482,0.01083672999793912,1.0,0.5,0.38303342630700987,9.98402083170343E-31,100
1514,0.0016598497656514777,0.49793878564107574,0.5518673530279341,0.06937925918097831,0.030000000000000027,0.1609774219110951,0.012821970351686567,80
1514,0.00120027080696451,0.9469305966170359,0.5688623114923654,0.2841836578173773,0.14,0.38556174097207263,0.018112764948472387,31
1514,0.007712650492464802,0.29571956004075883,0.002188146219995029,0.9963449959048227,0.38,0.33381590363238745,7.804331349080992E-8,1
1514,0.6930408854593358,0.03610736976373174,0.003001397125122942,1.0,0.5,0.051417505001985886,4.437342591868191E-31,100
1514,0.004124768703340742,0.026587306621787682,0.16287345765522476,0.8454679140974205,0.18999999999999995,0.20358943706199695,1.0604601549528087E-6,1
1514,1.802521464381189E-4,0.9058875088566417,0.7802125742909797,0.9409250073471731,0.050000000000000044,0.47534903284059227,4.6382726695855177E-4,39
1514,0.0043498594767608905,0.9899748210900635,0.558962397778314,0.20000070646731238,0.38,0.4822140121672775,0.0020606478513908563,82
1514,0.016064348311218044,0.017791338309598392,0.023745999994269823,1.0,0.43999999999999995,0.16784053333846344,6.405878149927496E-9,26
