runN,Variables,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
5,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),18,32,38,39,42,42,42,45,47,45,47,46,46,46,43,44,46,48,46,46,45,46,50,48,47,49,49,49,49,49,47,46,48,48,47,49,48,51,48,47,50,48,49,48,46,49,47,48,50,50,47
5,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),15,59,55,54,55,53,56,54,57,54,50,51,48,48,49,54,55,55,52,57,55,53,50,55,54,49,51,53,50,55,53,52,51,54,53,53,51,50,50,53,49,50,49,51,49,52,50,50,57,51,49
6,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),13,55,56,55,51,51,53,55,49,50,53,54,50,50,53,52,46,44,50,49,51,49,49,50,50,46,54,51,49,51,53,51,52,53,50,49,51,50,49,52,49,50,51,50,54,52,49,50,49,51,52
6,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),15,30,36,39,41,44,43,47,46,47,48,46,49,47,48,49,47,49,50,51,51,49,50,51,49,47,46,47,45,46,45,48,47,48,49,47,45,48,48,50,49,53,52,49,48,49,47,51,49,48,48
6,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),11,31,39,46,46,49,49,47,47,48,49,52,50,50,52,50,52,53,53,49,48,50,50,51,48,49,49,50,48,51,50,50,52,51,51,50,49,50,52,56,53,50,47,52,49,51,52,49,51,52,48
6,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),12,57,54,52,56,49,54,50,50,53,50,54,47,48,49,51,52,49,53,51,53,51,48,52,50,53,52,49,55,52,51,50,49,53,48,51,53,47,51,50,49,51,51,52,52,52,51,51,50,53,52
7,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),15,57,54,55,53,52,54,49,48,52,48,54,49,49,52,54,50,53,52,51,52,53,54,52,52,46,52,49,55,53,54,51,54,47,51,54,48,48,51,53,51,52,48,48,46,54,52,52,51,50,50
7,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),17,29,40,43,46,45,45,47,47,46,44,44,44,47,48,48,49,49,52,49,48,51,48,51,50,48,48,50,52,50,50,48,50,46,45,44,44,44,46,48,48,48,48,46,47,49,45,47,50,48,51
7,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),15,32,39,43,45,47,49,46,48,49,47,46,46,47,48,48,49,48,49,47,47,47,48,50,51,51,48,47,48,48,49,50,46,48,49,51,54,50,51,51,50,50,50,48,44,48,49,47,49,48,48
7,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),17,56,61,52,53,50,56,50,53,53,52,48,52,53,50,49,50,49,49,52,52,53,45,51,47,51,49,50,46,49,51,53,51,51,51,52,51,51,52,52,49,53,47,50,49,48,54,47,49,47,50
8,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),14,54,53,56,51,54,53,54,54,52,49,53,49,50,51,53,51,51,52,51,53,50,51,54,53,49,47,45,48,51,52,48,52,49,50,47,47,48,54,54,53,48,54,50,53,51,52,54,48,49,48
8,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),18,35,41,45,46,47,49,48,49,49,52,49,48,50,51,51,50,49,52,50,50,49,45,46,50,50,50,51,51,50,50,52,50,52,52,51,48,51,51,53,51,50,48,48,47,47,49,49,51,50,51
8,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),17,32,42,42,43,44,46,48,48,50,50,51,49,49,47,48,48,47,48,48,50,51,48,46,47,48,50,46,46,43,45,47,45,48,47,50,49,46,49,51,49,46,50,49,48,46,48,48,48,48,48
8,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),15,58,54,55,54,53,57,50,54,52,53,48,48,49,47,56,48,53,50,50,49,47,50,51,52,48,51,50,49,52,51,51,49,50,52,51,51,52,57,48,49,52,52,45,55,53,49,52,52,54,52
9,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),14,53,56,52,50,55,54,54,51,51,52,52,51,57,50,51,51,52,50,48,50,50,50,52,52,54,52,45,55,52,49,48,53,51,52,51,51,47,47,46,46,51,49,47,49,51,50,50,50,50,50
9,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),13,31,38,41,42,46,46,46,46,49,46,48,46,51,49,49,47,48,48,46,47,47,45,46,51,48,47,49,50,53,49,46,48,51,51,51,51,49,49,49,52,52,50,49,49,51,50,51,53,48,52
9,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),14,31,40,46,45,46,45,46,48,48,46,48,51,50,49,48,51,48,48,49,50,47,47,47,47,46,49,50,47,48,47,47,49,50,50,51,49,50,48,46,52,52,53,51,51,51,51,50,50,50,52
9,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),14,60,54,57,52,51,53,51,50,51,51,53,50,49,53,51,53,57,56,50,55,55,54,51,52,48,51,53,53,49,49,51,53,50,50,48,50,51,51,53,49,52,51,49,49,53,50,55,48,52,52
10,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),14,53,52,56,52,55,55,51,55,54,51,49,47,52,51,45,52,53,56,53,53,52,58,54,52,50,55,52,52,50,48,53,55,49,50,50,54,55,52,55,49,49,50,48,53,51,49,52,52,48,55
10,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),15,32,40,43,45,46,42,42,45,43,44,46,46,50,52,48,49,50,48,47,50,48,47,47,47,47,49,49,47,45,48,50,47,48,47,45,48,48,48,50,49,52,51,50,47,52,49,50,50,50,51
10,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),17,31,37,43,46,45,46,44,48,49,50,50,44,43,45,45,44,46,47,49,48,47,47,47,50,49,52,48,48,47,43,47,46,46,47,46,45,45,48,50,47,51,52,51,49,47,46,45,41,46,48
10,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),13,62,56,51,57,48,54,49,54,51,48,52,48,52,47,52,54,52,49,50,51,51,53,49,50,53,50,52,50,53,56,53,50,51,50,50,54,50,53,50,52,49,47,49,52,49,52,52,51,54,49
11,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),15,52,56,55,52,57,52,47,52,48,50,50,51,51,50,51,48,51,51,54,54,53,48,54,48,54,52,49,52,49,49,53,52,51,51,52,51,54,49,49,51,48,53,52,52,54,50,47,51,50,48
11,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),13,30,37,40,44,41,42,43,44,43,42,42,46,46,44,43,45,46,46,46,50,47,46,46,46,49,49,47,49,49,51,50,48,47,48,47,48,50,49,48,48,46,44,44,44,45,44,47,46,49,48
11,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),16,33,39,46,43,49,50,48,50,52,46,49,48,48,48,50,46,47,49,47,49,49,47,50,46,48,46,47,47,49,49,49,50,50,47,48,49,49,48,51,51,50,48,51,49,49,50,48,48,46,48
11,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),16,57,59,54,57,54,51,53,50,53,54,48,54,47,54,53,52,51,53,59,49,54,54,49,53,52,52,52,50,51,50,50,54,54,53,53,51,51,51,50,52,51,52,53,54,53,51,52,50,52,47
12,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),17,56,55,51,53,54,55,51,52,50,55,48,53,51,50,51,49,54,54,50,53,51,50,50,52,53,55,51,54,54,50,53,49,51,56,52,54,53,50,52,52,50,47,51,53,48,46,49,53,49,51
12,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),16,30,42,44,40,45,46,44,45,47,46,45,47,42,47,47,47,49,47,49,51,49,51,50,48,51,51,48,50,50,51,49,50,51,49,47,46,48,49,51,48,49,52,54,51,50,50,48,47,47,48
12,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),16,32,40,44,48,48,47,45,43,44,47,48,47,51,46,44,45,45,44,45,43,45,47,46,47,49,49,47,48,48,47,47,48,48,46,46,45,45,45,46,48,48,48,47,51,50,52,50,52,51,52
12,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),15,57,53,52,53,54,53,49,50,51,47,52,51,49,53,54,50,50,49,54,50,53,51,51,52,49,53,49,51,49,52,55,54,49,47,51,54,51,53,53,51,48,49,50,50,44,51,50,49,53,49
13,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),16,55,54,54,54,55,53,49,51,54,51,56,51,51,55,54,52,54,53,53,51,53,54,52,52,50,54,50,53,53,52,53,49,53,48,52,51,53,51,50,52,48,52,53,53,54,53,49,54,55,50
13,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),15,30,37,39,40,42,41,41,40,42,44,50,46,46,46,48,46,47,45,48,48,49,44,46,47,47,49,47,47,46,47,47,45,45,48,47,46,47,47,49,47,48,48,46,48,48,47,48,49,46,49
13,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),20,34,42,45,45,43,42,43,43,50,50,53,50,50,49,51,50,46,46,44,44,46,49,49,49,52,50,49,48,49,50,52,45,46,48,46,45,46,46,44,48,50,51,50,49,48,49,49,49,48,48
13,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),14,54,55,51,58,51,54,50,50,49,52,51,53,48,49,52,54,52,55,50,53,51,48,49,52,54,53,50,54,49,49,53,49,51,51,53,53,52,51,53,51,53,55,52,50,54,52,52,55,50,52
14,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),13,54,56,51,50,54,50,52,52,52,53,49,52,52,52,53,50,52,53,50,49,52,50,49,55,52,55,49,51,50,52,49,49,47,51,50,52,50,49,47,50,51,51,46,54,47,52,50,53,51,51
14,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),16,33,42,45,47,48,44,46,47,48,47,46,47,48,47,51,52,51,49,48,48,49,49,48,48,47,49,50,49,52,53,50,51,47,47,49,50,49,48,46,48,47,50,48,48,46,48,48,48,48,47
14,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),13,30,36,41,42,45,45,48,50,47,50,48,47,48,47,45,45,47,48,50,53,49,49,48,49,48,51,51,51,50,47,48,47,48,52,50,51,50,50,50,51,51,52,52,54,50,50,49,51,49,51
14,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),14,59,54,56,55,54,54,53,52,50,52,54,52,52,52,53,49,48,50,53,54,52,51,49,50,53,50,51,50,53,53,46,49,52,52,49,49,52,51,55,49,51,54,48,49,52,52,52,47,49,50
15,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),15,55,56,56,51,51,52,55,50,52,53,52,51,51,53,52,51,50,50,53,54,52,53,54,52,48,49,51,52,48,45,52,52,54,48,51,52,50,55,51,49,52,51,52,52,50,54,51,52,53,50
15,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),14,29,38,41,42,44,42,44,43,45,46,43,42,44,43,45,48,45,45,47,47,47,48,48,49,44,47,46,47,50,47,51,49,48,47,46,47,48,47,51,50,51,47,43,45,45,45,46,44,44,46
15,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),15,29,36,40,44,44,46,48,48,46,47,51,50,47,50,50,51,49,48,48,46,48,48,48,49,51,50,49,48,48,47,48,48,49,51,53,52,52,51,49,50,48,48,48,50,52,53,51,48,48,46
15,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),13,62,54,52,58,47,52,49,52,51,49,47,52,51,51,51,53,50,45,51,52,51,49,52,55,51,49,54,48,51,56,50,50,50,52,53,47,48,53,49,51,53,51,55,53,53,53,54,50,54,55
16,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),15,53,55,52,52,49,48,52,49,51,50,51,49,50,48,52,53,51,53,53,50,49,50,50,51,50,50,48,51,50,51,51,51,50,49,46,48,48,54,50,52,50,49,53,50,55,48,51,50,52,55
